Nom de la société,Secteur d'activité,Taille de l'entreprise,Catégorie,Année de fondation,Adresse,Lien webs
BEAICHEK,industrie électro-mécaniques,Moins de 20 employés,Société privée étrangère,,"Zone indistruel N°4, Hammam Zriba, Zaghouan, 1100 Tunisie",
SARRAJ IMMOBILIER,architecture / immobilier / BTP,Entre 20 et 100 employés,Société privée locale,,"RUE YASER ARAFET SAHLOUL1, Sousse Jaouhara, Sousse, 3000 Tunisie",
5 SENS ADVERTISING,communication / publicité / média,Moins de 20 employés,Société privée locale,,"7 Boulevard de l'environnement Kantaoui 4089, Hammam Sousse, Hammam Sousse, Sousse, None Tunisie",
NAUTILUS,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"716 Rue expresse de Gammarth Km 5 La MArsa, La Marsa, Tunis, 2078 Tunisie",
A2FO,autres,Entre 20 et 100 employés,Société privée locale,,"Route de Tunis KM10, Sakiet Ezzit, Sfax, None Tunisie",
APPLICATION MECANIQUE DU CENTRE,industrie métalliques,Entre 20 et 100 employés,Société privée locale,,"Rte de M'saken, Messadine, Msaken, Sousse, None Tunisie",
YES YOU CAN,enseignement / formation / puériculture,Entre 20 et 100 employés,Société privée étrangère,,"bardo 20 mars, Le Bardo, Tunis, None Tunisie",
PRO IMMO HAMMAMET,architecture / immobilier / BTP,Moins de 20 employés,Société privée locale,,"hammamet, Hammamet, Nabeul, None Tunisie",
NEOSYS,informatique / télécoms,Entre 20 et 100 employés,Société privée étrangère,,"Les Berges du Lac, El Kram, Tunis, 1053 Tunisie",
ENTREPRISE DE TRAVAUX ELECTRIQUE,électronique / électricité / énergie,Entre 20 et 100 employés,Société privée locale,,"Avenue Ibn Sina R6 N°15, Monastir, Monastir, None Tunisie",
CGH,comptabilité / gestion / audit,Entre 20 et 100 employés,Société privée locale,,"20 avenue de france ben arous, Ben Arous, Ben Arous, None Tunisie",
SCRM,commerce / vente / distribution,Moins de 20 employés,Société privée locale,2008,"Route chinois, Mnihla, Ariana, 2094 Tunisie",
LIK TEX,commerce / vente / distribution,Entre 20 et 100 employés,Société privée étrangère,,"Rue hedi nouira, Nabeul, Nabeul, None Tunisie",
ACS,commerce / vente / distribution,Moins de 20 employés,Société privée étrangère,,"58 Rue de L'Energie - Z.I. Charguia1, Cite El Khadra, Tunis, 2035 Tunisie",
BOSTANI CHOCALATE BELGIUM,agriculture / agro-alimentaire / environnement,Entre 200 et 500 employés,Société privée étrangère,,"Avenue Habib Bourguiba – Bardo residence Khadija 3éme Etage, Le Bardo, Tunis, 2000 Tunisie",
ERIS,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"14 rue ibn El Hani Ariana, Ariana Ville, Ariana, None Tunisie",
SITCONTROLS,industrie électro-mécaniques,Plus de 500 employés,Société privée étrangère,,"Z.I El Agba, El Hrairia, Tunis, 2087 Tunisie",
JOLIESSE,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,,"palmarium, Bab Bhar, Tunis, None Tunisie",
CREATIVE SOLUTIONS,informatique / télécoms,Moins de 20 employés,Société privée étrangère,,"Cité les pins, La Marsa, Tunis, None Tunisie",
FMA MAGHREB INDUSTRIE,industrie métalliques,Entre 20 et 100 employés,Société privée locale,,"zone industriel ben arous, Ben Arous, Ben Arous, None Tunisie",
FOODOMARKET,call center / télévente,Entre 100 et 200 employés,Société privée locale,2017,"Route de Gabes km 1, Sfax Est, Sfax, 3052 Tunisie",https://www.foodomarket.com/
MBG PROFILAGE,industrie métalliques,Entre 200 et 500 employés,Société privée locale,,"ZONE INDUSTRIELLE BORJ CEDRIA, Hammam Chatt, Ben Arous, None Tunisie",
ARTEMICO,communication / publicité / média,Moins de 20 employés,Société privée locale,,"El manar 1, Ariana Ville, Ariana, None Tunisie",
ELECTRONIC TUNISIE SYSTEM,électronique / électricité / énergie,Entre 200 et 500 employés,Société privée étrangère,,"RUE JUGUARTA-ZONE INDUST-BEN AROUS, Ben Arous, Ben Arous, None Tunisie",
FIDEXCONSEILS,comptabilité / gestion / audit,Moins de 20 employés,Société privée locale,,"RUE IRAN, Centre ville, Tunis, None Tunisie",
SOVEP,autres,Entre 100 et 200 employés,Société privée locale,,"rue el kasserine, Fouchana, Ben Arous, None Tunisie",
NEXT CONSULT,informatique / télécoms,Moins de 20 employés,Société privée locale,,"09, Sidi Abdeljelil, Montfleury, Centre ville, Tunis, None Tunisie",
ACTELO,commerce / vente / distribution,Moins de 20 employés,Société privée locale,2011,"2 rue jericha Menzeh 8, El Menzah, Tunis, 2037 Tunisie",
CARTHAGE LAND TUNIS,tourisme / hôtellerie / restauration / loisirs,Entre 200 et 500 employés,Société privée locale,,"Avenue Chick Zayed carthage land Les berges du lac, Centre ville, Tunis, None Tunisie",
CABINET MAITRE AWATEF ALOULOU,droit / fiscalité,Moins de 20 employés,Société privée locale,,"COMPLEXE NOUR CITY BUREAU A2-3 CENTRE URBAIN NORD, Cite El Khadra, Tunis, None Tunisie",
NEPTUNE MOSAIC,import / export,Entre 20 et 100 employés,Société privée locale,,"rue el jahedh, Kalaa Essghira, Sousse, 4021 Tunisie",
L'APPETISSANTE,agriculture / agro-alimentaire / environnement,Plus de 500 employés,Société privée locale,,"km 12 Route De Mateur Oued Ellil, Oued Ellil, La Manouba, 2021 Tunisie",
MBM PROTECTION,informatique / télécoms,Entre 20 et 100 employés,Société privée locale,,"LE BARDOO- TUNIS, Le Bardo, Tunis, None Tunisie",
GTET,électronique / électricité / énergie,Moins de 20 employés,Société privée locale,,"RUE OMAR IBN ABD AL AZIZ ETTADHAMEN, Ettadhamen, Ariana, None Tunisie",
MED START NOW,tourisme / hôtellerie / restauration / loisirs,Moins de 20 employés,Société privée locale,,"Avenue Fattouma Bourguiba, La Soukra, Ariana, None Tunisie",
PLACEHOLDER,informatique / télécoms,Moins de 20 employés,Société privée locale,,"Centre Urbain Nord, Cite El Khadra, Tunis, None Tunisie",
LABORATOIRES FIGOPHARMA,santé / paramédical / optique,Moins de 20 employés,Société privée locale,2018,"KAS MARREKCHI ROUTE EL AIN KM 1, Sfax Ville, Sfax, 3051 Tunisie",https://www.figopharma.tn/fr/
NEW MEDICAL HORIZONS,santé / paramédical / optique,Moins de 20 employés,Société privée locale,,"Cité des sciences, Cite El Khadra, Tunis, None Tunisie",
PRODUCTLIFE GROUP,recrutement / ressources humaines,Entre 200 et 500 employés,Société privée étrangère,,"berges du lac, Cite El Khadra, Tunis, None Tunisie",
AMA BUSINESS,informatique / télécoms,Moins de 20 employés,Société privée locale,,"Manouba, None, La Manouba, None Tunisie",
TOUCH DESIGN,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"27 avn hbib bourguiba carthage byrsa, Carthage, Tunis, None Tunisie",
ZIMYS SOFTWARE,informatique / télécoms,Moins de 20 employés,Société privée locale,2012,"Avenue Liberté, Résid NAJLA Bureau 02 RDC, Boumhel El Bassatine 2097, Bou Mhel El Bassatine, Ben Arous, 2097 Tunisie",http://www.zimys.com
MULTIVAC NORTH AFRICA,commerce / vente / distribution,Entre 20 et 100 employés,Société privée étrangère,2004,"Rue du lac victoria les Berges du Lac Tunis, La Marsa, Tunis, 1053 Tunisie",https://multivacnorthafrica.com/
MEDCAR,banque / finance / assurances,Moins de 20 employés,Société privée locale,,"81, Avenue Habib BOURGUIBA- Bureau 3-5- Mamia Palace, Ariana Ville, Ariana, None Tunisie",
DREST,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"3 rue de l'ETTIHAD, El Menzah, Tunis, 1001 Tunisie",
CBF ETUDE,consulting / étude / stratégie,Moins de 20 employés,Société privée étrangère,,"021,IRAN,TUNIS,1002, Centre ville, Tunis, 1001 Tunisie",
AFRIC FROID,industrie électro-mécaniques,Entre 20 et 100 employés,Société privée locale,1991,"Z.I. Ksar Said , 4 rue Hammouda Pecha Douar Hicher - Mannouba, Douar Hicher, La Manouba, 2086 Tunisie",
BROS TECHNOLOGIE,informatique / télécoms,Entre 20 et 100 employés,Société privée étrangère,,"000 IMMEUBLE ROYAL GARDEN LAC 2,, La Goulette, Tunis, 1053 Tunisie",
ROUNDESK,informatique / télécoms,Moins de 20 employés,Société privée étrangère,,"avenue yasser arafet, Sahloul, Hammam Sousse, Sousse, 3000 Tunisie",
IMAE,architecture / immobilier / BTP,Moins de 20 employés,Société privée locale,,"02 rue koutama-1082 Mutuelleville-tuinis, El Menzah, Tunis, None Tunisie",
POLYBETON,architecture / immobilier / BTP,Entre 20 et 100 employés,Société privée locale,,"CLEOPATRE CENTRE CENTRE URBAIN NORD, Cite El Khadra, Tunis, 1073 Tunisie",
CYK,comptabilité / gestion / audit,Moins de 20 employés,Société privée locale,,"Tunis, Centre ville, Tunis, None Tunisie",
BULGIN TUNISIE,électronique / électricité / énergie,Plus de 500 employés,Société privée étrangère,,"13 rue 62128 Ibn Khaldoun Ettahrir, Ettahrir, Tunis, 2042 Tunisie",
DELISOLUTIONS MONRESTO,informatique / télécoms,Moins de 20 employés,Société privée locale,,"Rue des Métaux, La Soukra, Ariana, 2036 Tunisie",
STE KHOULOUD,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"43, Avenue de France BEN AROUS, Ben Arous, Ben Arous, None Tunisie",
BEESKY,commerce / vente / distribution,Entre 100 et 200 employés,Société privée locale,1998,"Rue 8603 - Impasse N°1 Z.I. Charguia 1 - 2035 Tunis, Centre ville, Tunis, 2035 Tunisie",
AMP TUNISIE,industrie électro-mécaniques,Moins de 20 employés,Société privée locale,,"Cite Ali Khattab chbedda fouchana, Fouchana, Ben Arous, None Tunisie",
CLINIQUE INTERNATIONNAL TUNIS SUD,santé / paramédical / optique,Entre 200 et 500 employés,Société privée locale,,"Route GP1, Megrine, Ben Arous, None Tunisie",
CARCOLIVA,agriculture / agro-alimentaire / environnement,Entre 20 et 100 employés,Société privée locale,,"ZI ELGHRABA SFAX TUNISE, El Hencha, Sfax, None Tunisie",
SCIPP,autres,Entre 20 et 100 employés,Société privée locale,,"ZI KSAR SAID DOUAR HICHER, Douar Hicher, La Manouba, None Tunisie",
STRAM,architecture / immobilier / BTP,Entre 100 et 200 employés,Société privée locale,,"Bureau B18, première étage, immeuble Alexandrin, Rue Habib Bourguiba, Megrine 2033 Ben Arous, Megrine, Ben Arous, None Tunisie",
ICOVER TUNISIE,informatique / télécoms,Moins de 20 employés,Société privée locale,,"06 rue de l'artisanat , charguia 02 Sokra, La Soukra, Ariana, None Tunisie",
PARADAISE,informatique / télécoms,Moins de 20 employés,Société privée locale,,"Rue charlle digole, Bab Bhar, Tunis, None Tunisie",
INOVARC,call center / télévente,Moins de 20 employés,Société privée locale,2018,"11 rue de guinée, Centre ville, Tunis, 1002 Tunisie",
TECNOCASA  MENZAH 7,architecture / immobilier / BTP,Moins de 20 employés,Société privée étrangère,,"72 Avenue Mouaia Ibn Abi Sofien el menzah 7, El Menzah, Tunis, None Tunisie",
SMART SOLUTIONS,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"28 rue de carthage, Fouchana, Ben Arous, 2082 Tunisie",
ALFET AL MACHIA,agriculture / agro-alimentaire / environnement,Entre 100 et 200 employés,Institution (administration),,"Rue Awled Aicha km 1.5, El Hencha, Sfax, 4000 Tunisie",
TECHNIFER,industrie métalliques,Entre 20 et 100 employés,Société privée locale,,"RUE DE L'INDUSTRIE Z.I, Rades, Ben Arous, 2040 Tunisie",
M.C.A SOCAPS MAGHREB,industrie électro-mécaniques,Moins de 20 employés,Société privée étrangère,,"Avenue 14 janvier - Monastir, Monastir, Monastir, None Tunisie",
ÉTUDIER PLUS À L'ÉTRANGER,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,2022,"Immeuble Graiet, 4ème étage, Bureau 44, Avenue Yasser Arafet Sahloul, Sousse Jaouhara, Sousse, 4054 Tunisie",https://etudierplus.com
PROXI,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,,"61 Rue de l'Energie ZI Charguia 1, Cite El Khadra, Tunis, None Tunisie",
E TASKS,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"Lac 2, La Goulette, Tunis, None Tunisie",
LE BOIS,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,,"ZONE INDUSTRIELLE SIDI DAOUED LA MARSA, La Marsa, Tunis, 2046 Tunisie",
FORCE PLUS,communication / publicité / média,Entre 20 et 100 employés,Société privée locale,,"RUE 7 NOVEMBRE IMMEUBLE AMETISTA, Sfax Ville, Sfax, 3000 Tunisie",
CABINET DE COMPTABILTÉ ET COMMISSARIAT,comptabilité / gestion / audit,Moins de 20 employés,Société privée locale,,"26 Route de sousse  Km7  fondouk choucha Megrine, Ben Arous, Ben Arous, None Tunisie",
MAKDA IMMOBILIÈRE,tourisme / hôtellerie / restauration / loisirs,Moins de 20 employés,Société privée locale,,"7 rue taher ben achour, La Marsa, Tunis, None Tunisie",
STE AB CONSULTING,électronique / électricité / énergie,Moins de 20 employés,Société privée locale,2021,"Rue Victor Hugo Sousse Trocadéro, Sousse Ville, Sousse, 4000 Tunisie",
PROTEST ENGINEERING,industrie électro-mécaniques,Moins de 20 employés,Société privée locale,,"Route Bougerdga, Mornag, Ben Arous, None Tunisie",
SKILL POWER SERVICE,informatique / télécoms,Moins de 20 employés,Société privée locale,,"RUE DE LARGENT, La Marsa, Tunis, None Tunisie",
STE OLYMPIQUE DES PNEUS ET SERVICES  SOPS,autres,Moins de 20 employés,Société privée locale,,"21 avenue de Tunis ariana, Ariana Ville, Ariana, None Tunisie",
SOCIÉTÉ MEDITERRANNENE DE SERVICES,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,2001,"rue lac de victoria résidence lac  bloc tc bureau N°1, La Goulette, Tunis, 1053 Tunisie",http://smsvitre.com
WEDATA CONSULT,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"Rue Mohamed Attia, Sousse Jaouhara, Sousse, 4071 Tunisie",https://www.wedata-consult.com/
I2C CONSULT,autres,Moins de 20 employés,Société privée locale,,"Nabeul, Nabeul, Nabeul, None Tunisie",
C2A-INDUSTRIEL,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"Rue Arbi Zarrouk Megrine, Megrine, Ben Arous, None Tunisie",
LABORATOIRE  ANALYSES MEDICALES ET BIOLOGIQUES,santé / paramédical / optique,Moins de 20 employés,Société privée locale,,"23 rue du dr alphonse laveran belvedere, Centre ville, Tunis, None Tunisie",
WINCOM,informatique / télécoms,Entre 20 et 100 employés,Société privée locale,,"033 RUE IBN BASSEM MENZAH4, El Menzah, Tunis, 1004 Tunisie",
FROCLIMA SA,électronique / électricité / énergie,Entre 20 et 100 employés,Société privée locale,,"04 rue de l'energie solaire zi charguia 1, Carthage, Tunis, None Tunisie",
SOCOOPEC GROUP,agriculture / agro-alimentaire / environnement,Plus de 500 employés,Société privée locale,,"66 AVENUE DE CARTHAGE , 1001 TUNIS, Centre ville, Tunis, 1001 Tunisie",https://www.socoopec-group.com/
CHAUDRA,industrie métalliques,Entre 20 et 100 employés,Société privée locale,2003,"rue menzel bourguiba km3 bizerte, Bizerte Sud, Bizerte, 7011 Tunisie",http://chaudra@planet.tn
SOTECA ELECTRIC,électronique / électricité / énergie,Entre 100 et 200 employés,Société privée locale,,"Rocade km4 Teniour - Kaied Mohamed 3041 Sfax, Sfax Ville, Sfax, None Tunisie",
ÉQUILIBRE FINANCES,comptabilité / gestion / audit,Entre 20 et 100 employés,Société privée étrangère,,"229 rue Saint Honoré, PARIS, Ile-De-France, None France",
SHOP MY INFLUENCE,informatique / télécoms,Moins de 20 employés,Société privée locale,,"AVENUE HABIB THAMEUR Immeuble Zbeida Bis 99 NABEUL, Nabeul, Nabeul, None Tunisie",
ITEMS,informatique / télécoms,Moins de 20 employés,Société privée étrangère,,"58 Rue Ibn Charaf, cité jardin, Cite El Khadra, Tunis, 1002 Tunisie",
GLOBAL DISPLAY SOLUTION TUNISIA,électronique / électricité / énergie,Entre 200 et 500 employés,Société privée étrangère,,"Route El Fajja Km 2, Mornaguia, La Manouba, 1110 Tunisie",
IRAQUOS,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"01 BIS, RUE HALIMA SAADIA MENZAH6 ARIANA 2091, Ariana Ville, Ariana, 2091 Tunisie",
BOLD BRANDS,communication / publicité / média,Moins de 20 employés,Société privée locale,,"Immeuble Chebil Avenue Farhat Hached megrine sidi rezig, 2014, Megrine, Ben Arous, None Tunisie",
CESAR DESIGN,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"56 AVENUE DE L'UMA LA SOUKRA, La Soukra, Ariana, None Tunisie",
HORIZON EFELE,enseignement / formation / puériculture,Moins de 20 employés,Société privée locale,,"Rue Hamed el Ghazali Sousse 4000, Sousse Ville, Sousse, None Tunisie",
SMC YORK,électronique / électricité / énergie,Entre 20 et 100 employés,Société privée locale,,"71 rue energie ZI charguia 1, Carthage, Tunis, 2035 Tunisie",
SOMEF,électronique / électricité / énergie,Entre 200 et 500 employés,Société privée locale,,"ZI Sidi Rezig, Megrine, Ben Arous, None Tunisie",
SCAPCB,autres,Entre 100 et 200 employés,Société privée locale,1946,"HENCHIR TURKI GROMBELIA, Grombalia, Nabeul, 8030 Tunisie",
MISTA,industrie métalliques,Entre 100 et 200 employés,Société privée étrangère,,":  Route de Soliman km 2، Manzil Bu Zalafah 8010, Soliman, Nabeul, None Tunisie",
BEN YAGHLANE SHOPS,commerce / vente / distribution,Entre 200 et 500 employés,Société privée locale,,"rue danemark 1000 tunis, Centre ville, Tunis, None Tunisie",
ECOCERT TUNISIE,agriculture / agro-alimentaire / environnement,Moins de 20 employés,Société privée locale,2009,"App 2, 1ier etage, Cite Hedi Nouira Borj Louzir – 2080- Ariana, Ariana Ville, Ariana, 2080 Tunisie",
MILLET MOUNTAIN GROUP TUNISIE,artisanat / textile / cuir,Entre 200 et 500 employés,Société privée étrangère,,"Route de sousse , 5012 Sahline Monastir, Sahline, Monastir, 5012 Tunisie",
5P SERVICES,informatique / télécoms,Moins de 20 employés,Société privée locale,,"Soukra, La Soukra, Ariana, None Tunisie",
GREENLAB,agriculture / agro-alimentaire / environnement,Entre 20 et 100 employés,Société privée locale,,"50 RUE DE L ARTISANAT CHARGUIA II, La Soukra, Ariana, None Tunisie",
SAFEACT ENERGY,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"RESIDENCE YASSMIN BLOC B APT.0.2, El Mourouj, Ben Arous, 1035 Tunisie",
INTERTEK CRISTAL TUNISIE,consulting / étude / stratégie,Moins de 20 employés,Société privée étrangère,,"Les berges du lac, lac 1, Carthage, Tunis, None Tunisie",
KAP PHARMA,cosmétique / parfumerie / luxe,Entre 20 et 100 employés,Société privée locale,,"IMPASSE EL BASSATINE LA SOUKRA 2036   2080 ARIANA, La Soukra, Ariana, 2080 Tunisie",
ANDIAMO TRAVEL,tourisme / hôtellerie / restauration / loisirs,Moins de 20 employés,Société privée locale,,"Local 5, Rue De L’Ile De Java، Tunis 1053, La Marsa, Tunis, 1053 Tunisie",
NEW BOX TUNISIA,autres,Entre 100 et 200 employés,Société privée locale,2020,"ZI SBIKHA kairouan, Sbikha, Kairouan, 3110 Tunisie",
POLYCOQ,tourisme / hôtellerie / restauration / loisirs,Entre 20 et 100 employés,Société privée locale,,"51-53 rue radhia hadded 1001 tunis, Centre ville, Tunis, None Tunisie",
LABORATOIRES SINED,cosmétique / parfumerie / luxe,Moins de 20 employés,Société privée locale,2018,"12 rue youssef wahbi jawhara sousse, Sousse Ville, Sousse, 4000 Tunisie",
ASADA GROUP,artisanat / textile / cuir,Entre 100 et 200 employés,Société privée étrangère,2018,"Rue Union Magrébine Zone Industrielle 5015 Bouhjar, Sayada Lamta Bou Hajar, Monastir, 5015 Tunisie",http://www.asadagroup.com
CYBERMIS,informatique / télécoms,Moins de 20 employés,Société privée locale,,"22 rue Abou bakker essedike boumhal,, Bou Mhel El Bassatine, Ben Arous, 2097 Tunisie",
UMANLINK GROUP,call center / télévente,Plus de 500 employés,Société privée étrangère,2010,"28 Rue Platon, Z.A. Kheireddine, Lac 3, El Kram, Tunis, 2060 Tunisie",https://umanlink.com/
HOME IN TUNISIA,architecture / immobilier / BTP,Entre 20 et 100 employés,Société privée locale,,"Rue des Caraïbes, Hammam Sousse, Sousse, None Tunisie",
ALIMENTS COMPOSES DE NORD ACN,agriculture / agro-alimentaire / environnement,Entre 100 et 200 employés,Société privée locale,,"Zone industriel B.P 184 Soliman 8022, Soliman, Nabeul, None Tunisie",
AMC ARCHITECTURE COMPANY,architecture / immobilier / BTP,Moins de 20 employés,Société privée locale,2015,"LAC 2 vital Cube 1053 tunis, La Goulette, Tunis, 1053 Tunisie",http://www.amcarchitecturecompany.com
GOODAGRO,agriculture / agro-alimentaire / environnement,Moins de 20 employés,Société privée locale,,"route gremda, Sfax Sud, Sfax, 3074 Tunisie",
CISA INFORMATIQUE,informatique / télécoms,Moins de 20 employés,Société privée étrangère,,"Pôle de compétitivité de Sousse 4051- Mammem Maarouf Sousse, Sousse Ville, Sousse, 4051 Tunisie",
SAIIS DOC,santé / paramédical / optique,Moins de 20 employés,Société privée locale,,"Beb mateur 7000 Bizerte, Bizerte Nord, Bizerte, None Tunisie",
AGRIUP DISTRIBUTION,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"18 Rue Mohamed ALi Mégine côteaux, Megrine, Ben Arous, None Tunisie",
GEEK GAMMARTH,tourisme / hôtellerie / restauration / loisirs,Entre 20 et 100 employés,Société privée locale,,"Gammarth, Zone Touristique, La Marsa, Tunis, 1057 Tunisie",
PROPLAST,autres,Entre 20 et 100 employés,Société privée locale,,"Route GABES km 9 zone industrielle Thyna, Sfax Sud, Sfax, None Tunisie",
CENTURION,consulting / étude / stratégie,Entre 20 et 100 employés,Société privée étrangère,,"Immeuble PREMIUM, Avenue de l'Euro, LAC 2, Tunis, Centre ville, Tunis, 1053 Tunisie",
LEGAL PARTNERS ADVISORS,droit / fiscalité,Moins de 20 employés,Société privée locale,,"22,Rue Emir Abdelkarim ,Mutuelle ville Tunis, El Menzah, Tunis, 1082 Tunisie",
SEB MOTORS,automobile / moteurs / engins mécaniques,Entre 20 et 100 employés,Société privée locale,,"Route GP1 KM 36-BP62, 8030 grombalia, Grombalia, Nabeul, None Tunisie",
SIM LAC 2,santé / paramédical / optique,Moins de 20 employés,Société privée locale,,"Cité les pins les berges du  lac 2, El Kram, Tunis, 1053 Tunisie",
ROYAL DESIGN,autres,Entre 200 et 500 employés,Société privée étrangère,,"Z.I ENFIDHA, Enfidha, Sousse, None Tunisie",
ASSERE DISTRIBUTION,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"Ariana, Ariana Ville, Ariana, None Tunisie",
PLAT IMMOB,architecture / immobilier / BTP,Moins de 20 employés,Société privée locale,,"Im LOUATI, 01 Av de la LIRE, Jardins du lac 2, La Marsa, Tunis, 1053 Tunisie",
MBA JOBS,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,,"Av Habib Bourguiba, Ksibet El Mediouni, Monastir, 5000 Tunisie",
SPACE.NET,informatique / télécoms,Entre 20 et 100 employés,Société privée locale,,"56 Rue de l'industrie Charguia I, Ariana Ville, Ariana, None Tunisie",
GS,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"10 Rue de la municipalite 2080, Ariana Ville, Ariana, 2080 Tunisie",
SOCIETE AKKARI ET DRISSI SCP DE VETERINAIRE,santé / paramédical / optique,Entre 20 et 100 employés,Société privée locale,,"24 Bis Rue 20 Mars 1956, Hammam Lif, Ben Arous, None Tunisie",
FOUDHAILI HOLDING,autres,Entre 20 et 100 employés,Société privée locale,2016,"Route Mateur KM 7, Mannouba, La Manouba, 2080 Tunisie",
ADITEC CONSEIL MAGHREB,comptabilité / gestion / audit,Moins de 20 employés,Société privée étrangère,,"centre urbain nord, Centre ville, Tunis, None Tunisie",
CARTHAGE TECHNOLOGY AND TRAINING,informatique / télécoms,Entre 20 et 100 employés,Société privée locale,,"Rue Dag hamarshoeld hammamet, Hammamet, Nabeul, None Tunisie",
DELTA CUISINE,autres,Entre 200 et 500 employés,Société privée locale,,"zone industrielle 125, Z.I El M'ghira 2, Fouchana, Ben Arous, 2082 Tunisie",
SEGOR,autres,Plus de 500 employés,Société privée locale,,"14 AVENUE NOUVELLE DELHI 1002 TUNIS BELVEDERE, Centre ville, Tunis, 1002 Tunisie",
APHRO-PHARMA,santé / paramédical / optique,Entre 20 et 100 employés,Société privée locale,2015,"La soukra, La Soukra, Ariana, 2035 Tunisie",
EVENCIA TRAVEL AND EVENTS,tourisme / hôtellerie / restauration / loisirs,Entre 20 et 100 employés,Société privée locale,,"Tanit Business center, 1er étage Bureau 103 -  les berges du lac, La Marsa, Tunis, None Tunisie",
QAM QUICAILLERIE ET ACCESSOIRES DE MEUBLE,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"Route De Bizerte km 6 El Mnihla, Ariana, Tunisie, Mnihla, Ariana, 2094 Tunisie",
FABRIQUE DE CORDAGE ET SCOURTINS,autres,Entre 200 et 500 employés,Société privée locale,,"RUE 4862 ROUTE DE FOUCHANA, Sidi Hassine, Tunis, None Tunisie",
VAKAY,autres,Entre 20 et 100 employés,Société privée locale,,"Route Mharza KM 2, Sfax Ville, Sfax, None Tunisie",
WOO SERVICES,call center / télévente,Moins de 20 employés,Société privée locale,,"Montplaisir, Cite El Khadra, Tunis, None Tunisie",
LABVET INTERNATIONAL,agriculture / agro-alimentaire / environnement,Entre 20 et 100 employés,Société privée locale,,"Zone industrielle soliman, Soliman, Nabeul, None Tunisie",
TUNISIA TRADING TECHNOLOGIES,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,,"AVENUE HBIB BOURGUIBA, Sidi Hassine, Tunis, None Tunisie",
GPS CNA,santé / paramédical / optique,Moins de 20 employés,Société privée locale,,"151 Avenue Othman Ibn Affan, Ariana Ville, Ariana, None Tunisie",
RADISSON,tourisme / hôtellerie / restauration / loisirs,Entre 20 et 100 employés,Société privée étrangère,,"beb bhar sfax, Sfax Ville, Sfax, None Tunisie",
SOCIETE DE PRODUCTION ET DE DEVELOPPEMENT AGRICOLE,agriculture / agro-alimentaire / environnement,Entre 20 et 100 employés,Société privée locale,,"OUED EL KHIL, PONT DU FAHS, El Fahs, Zaghouan, None Tunisie",
VIRIBUS CENTRE,call center / télévente,Entre 20 et 100 employés,Société privée étrangère,,"centre ines el manar 2, El Menzah, Tunis, None Tunisie",
INOVINTELL,consulting / étude / stratégie,Entre 20 et 100 employés,Société privée étrangère,,"Rue du lac Leman, les berges du lac 1, La Marsa, Tunis, None Tunisie",
SA HH DIGITAL,call center / télévente,Moins de 20 employés,Société privée locale,,"32 rue d'iran 1002 tunis, Centre ville, Tunis, None Tunisie",
CONCORDE CONSULTING,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"immeuble driss - sakiet ezzit sfax, Sakiet Ezzit, Sfax, None Tunisie",
COMPILE,informatique / télécoms,Moins de 20 employés,Société privée locale,,"Cité Ettaamir - Route GP1, Sousse Ville, Sousse, None Tunisie",
SAMFI,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,,"route de sousse km14-hammam lif, Ezzahra, Ben Arous, 1135 Tunisie",
CALZEDONIA GROUP SPA - STE TAURUS,artisanat / textile / cuir,Plus de 500 employés,Société privée étrangère,,"Lot 8 Zone industrielle, Hamman Zriba Zaghouan, Sahline, Monastir, 1152 Tunisie",
MEDICAL DEVICES INTERNATIONAL DISTRIBUTION,santé / paramédical / optique,Entre 20 et 100 employés,Société privée locale,,"13 RUE MANNOUBI BEN HASSIN ENNASR II, Ariana Ville, Ariana, None Tunisie",
SONOTEM,commerce / vente / distribution,Entre 100 et 200 employés,Société privée locale,,"Rue 8612 imapsse 3 charguia 1 tunis, Centre ville, Tunis, 2035 Tunisie",
